141	469
141	531
151	594
165	653
189	710
223	764
263	811
308	848
365	857
419	844
458	805
491	757
518	705
537	652
552	598
564	542
565	483
162	426
191	396
237	390
283	396
327	411
394	415
437	402
482	398
525	409
550	442
363	470
364	518
365	564
366	613
312	638
337	647
363	654
389	646
413	638
208	478
233	461
266	462
295	483
263	490
231	490
423	485
450	466
482	467
507	483
483	493
452	492
270	718
303	709
338	699
365	708
390	698
422	705
452	713
424	747
394	766
366	771
337	768
302	751
283	722
337	726
365	730
390	725
438	717
392	729
366	734
0 0
700 0
0 1200
700 1200
184	716
0	866
365	1015
715	836
521	712
